,"Location of Terminal Market",,"All Red Tomato count  apples are tray packed. ","Type of Apple (not all varieties are grown in all origins)",,"USDA specifications for size, coloring, allowable imperfections, etc",,"Pricing in $",,,,"Where the product was grown ",,"Count size-how many apples fit into a case, so the higher the number, the smaller the apple",,,,,,,,,,,,,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,WAExFcy,2018/09/18,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,WAExFcy,2018/09/19,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,WAExFcy,2018/09/20,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,WAExFcy,2018/09/21,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,WAExFcy,2018/09/24,32,32,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/04,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/04,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/04,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/05,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/05,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/05,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/06,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/06,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/06,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/07,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/07,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/07,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/10,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/10,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/10,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/11,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/11,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/11,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/12,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/12,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/12,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/13,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/13,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/13,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/14,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/14,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/14,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/17,28,28,,,"NEW YORK",,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/17,28,28,,,"NEW YORK",,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/17,26,26,,,"NEW YORK",,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/25,30,30,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/26,30,30,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/27,30,30,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","GINGER GOLD",,"U.S. ExFcy",2018/09/28,30,30,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/04,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/05,20,20,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/06,20,20,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/07,20,20,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/10,20,20,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/11,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/12,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/13,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/14,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose","GINGER GOLD",,"No Grade Marks",2018/09/17,22,22,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/11,38,38,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/11,38,38,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/11,38,38,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/12,38,38,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/12,38,38,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/12,38,38,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/13,38,38,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/13,38,38,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/13,38,38,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/14,38,38,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/14,38,38,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/14,38,38,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/17,38,38,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/17,38,38,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,,2018/09/17,38,38,,,PENNSYLVANIA,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/04,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/05,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/06,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/07,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/10,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/11,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/12,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/13,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/14,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/17,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/18,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/18,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/18,75,75,,,WASHINGTON,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/18,75,75,,,WASHINGTON,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/19,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/19,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/19,75,75,,,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/19,75,75,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/20,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/20,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/20,75,75,,,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/20,75,75,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/21,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/21,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/21,75,75,,,WASHINGTON,,80s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/21,75,75,,,WASHINGTON,,88s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/24,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/24,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/24,75,75,,,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/24,75,75,,,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/25,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/25,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/26,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/26,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/27,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/27,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/28,75,78,76,77,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,WAExFcy,2018/09/28,92,92,,,WASHINGTON,,72s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/25,70,70,,,PENNSYLVANIA,,72s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/25,70,70,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/25,70,70,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/26,70,70,,,PENNSYLVANIA,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/26,70,70,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/26,70,70,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/27,70,70,,,PENNSYLVANIA,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/27,70,70,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/27,70,70,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/28,70,70,,,PENNSYLVANIA,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/28,70,70,,,PENNSYLVANIA,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",HONEYCRISP,,"U.S. ExFcy",2018/09/28,70,70,,,PENNSYLVANIA,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"U.S. ExFcy",2018/09/18,50,50,,,VERMONT,,100s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"U.S. ExFcy",2018/09/19,50,50,,,VERMONT,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/05,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"NEW ZEALAND BRAEBURN 80S, WA GINGER GOLD 80S-100S, CHILE GRANNY SMITH 90S-100S.",,"HIGHER; WA PINKLADY 80S, WA FUJI 72S-80S, GINGER GOLD 125S; OTHERS ABOUT STEADY"
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/06,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/07,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/10,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/11,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/12,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/13,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/14,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/17,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/18,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/19,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/20,50,50,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/20,50,50,,,VERMONT,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/21,45,45,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/24,45,45,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/25,45,45,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/26,45,45,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/27,45,45,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"bushel cartons loose",HONEYCRISP,,"No Grade Marks",2018/09/28,45,45,,,"NEW HAMPSHIRE",,"No Size Marks",,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack",MACOUN,,"U.S. ExFcy",2018/09/28,38,38,,,"NEW HAMPSHIRE",,80s,,,,,,,,,N,,,STEADY.,,
